origin,shape,carat_weight,color,clarity,cut,price
NATURAL,round,0.30,J,SI2,Excellent,296
NATURAL,round,0.19,E,VS2,Very_Good,379
NATURAL,round,0.30,K,VVS2,Excellent,408
NATURAL,round,0.34,K,VS1,Very_Good,404
NATURAL,emerald,0.31,G,VVS1,Excellent,408
NATURAL,round,0.18,E,VS1,Excellent,386
NATURAL,round,0.23,J,VVS2,Excellent,380
NATURAL,round,0.24,D,I1,Excellent,355
NATURAL,round,0.30,G,I1,Excellent,401
NATURAL,round,0.18,F,VS1,Excellent,379
NATURAL,round,0.30,K,VVS1,Good,347
NATURAL,round,0.32,I,SI1,Excellent,407
NATURAL,round,0.31,E,SI2,Excellent,376
NATURAL,round,0.22,E,SI1,Excellent,377
NATURAL,emerald,0.32,F,VS1,Excellent,412
NATURAL,round,0.18,G,IF,Excellent,389
NATURAL,round,0.30,H,I1,Very_Good,412
NATURAL,radiant,0.25,H,SI2,Excellent,330
NATURAL,round,0.34,J,VS2,Excellent,375
NATURAL,round,0.30,J,SI1,Very_Good,407
NATURAL,emerald,0.30,G,VS1,Excellent,399
NATURAL,round,0.31,J,IF,Excellent,411
NATURAL,round,0.40,K,SI2,Excellent,398
NATURAL,round,0.30,G,SI2,Excellent,405
NATURAL,round,0.32,J,VS1,Excellent,396
NATURAL,round,0.24,E,SI2,Excellent,341
NATURAL,round,0.31,J,VS2,Very_Good,399
NATURAL,round,0.30,J,SI1,Very_Good,349
NATURAL,round,0.30,K,IF,Excellent,373
NATURAL,round,0.31,J,VS1,Excellent,377
NATURAL,round,0.30,E,I1,Very_Good,368
NATURAL,round,0.33,K,VS1,Excellent,379
NATURAL,pear,0.22,F,VS2,Excellent,332
NATURAL,round,0.30,K,VS1,Very_Good,355
NATURAL,round,0.32,K,VS1,Excellent,386
NATURAL,round,0.28,D,I1,Good,347
NATURAL,round,0.19,D,VS1,Excellent,408
NATURAL,round,0.21,G,VS2,Very_Good,362
NATURAL,emerald,0.30,G,VS2,Excellent,372
NATURAL,round,0.23,E,I1,Excellent,360
NATURAL,emerald,0.40,J,VS1,Excellent,396
NATURAL,emerald,0.31,G,VS2,Excellent,376
NATURAL,round,0.23,J,SI2,Excellent,378
NATURAL,round,0.30,K,VS2,Excellent,396
NATURAL,round,0.30,J,SI2,Excellent,326
NATURAL,oval,0.20,G,VS2,Excellent,352
NATURAL,round,0.30,K,VS1,Very_Good,407
NATURAL,round,0.23,J,SI1,Excellent,379
NATURAL,emerald,0.30,E,SI2,Excellent,371
NATURAL,round,0.30,K,SI1,Very_Good,402
NATURAL,emerald,0.30,E,SI2,Excellent,371
NATURAL,round,0.18,D,VS1,Excellent,394
NATURAL,round,0.19,D,VS1,Very_Good,396
NATURAL,round,0.30,K,SI1,Excellent,384
NATURAL,emerald,0.20,I,VS2,Excellent,329
NATURAL,round,0.18,D,SI1,Excellent,330
NATURAL,round,0.18,H,IF,Excellent,393
NATURAL,emerald,0.30,G,VS1,Excellent,383
NATURAL,round,0.25,D,VS2,Very_Good,403
NATURAL,round,0.30,J,VS1,Excellent,374
NATURAL,round,0.18,G,VVS2,Excellent,380
NATURAL,round,0.21,I,VVS2,Very_Good,401
NATURAL,round,0.25,J,SI2,Excellent,398
NATURAL,round,0.31,J,SI1,Good,393
NATURAL,oval,0.32,I,SI2,Excellent,407
NATURAL,round,0.31,J,VVS2,Excellent,382
NATURAL,round,0.30,F,I1,Excellent,413
NATURAL,pear,0.29,I,SI2,Excellent,294
NATURAL,emerald,0.31,G,VVS1,Excellent,407
NATURAL,round,0.32,I,I1,Excellent,386
NATURAL,round,0.35,K,VVS2,Very_Good,368
NATURAL,round,0.34,K,SI1,Very_Good,337
NATURAL,emerald,0.30,I,IF,Excellent,396
NATURAL,emerald,0.30,G,VVS1,Excellent,395
NATURAL,round,0.18,H,VS2,Very_Good,321
NATURAL,round,0.32,K,VS1,Very_Good,412
NATURAL,emerald,0.30,G,VS1,Excellent,399
NATURAL,round,0.18,H,VVS1,Excellent,373
NATURAL,round,0.23,D,SI2,Excellent,406
NATURAL,round,0.36,J,SI2,Excellent,376
NATURAL,round,0.18,H,IF,Excellent,398
NATURAL,round,0.18,G,VVS1,Excellent,380
NATURAL,round,0.18,D,VS1,Excellent,394
NATURAL,round,0.34,K,SI2,Excellent,406
NATURAL,round,0.30,J,VS1,Very_Good,357
NATURAL,round,0.35,K,VS1,Excellent,365
NATURAL,round,0.31,K,SI2,Very_Good,380
NATURAL,round,0.30,K,VS1,Excellent,347
NATURAL,round,0.22,G,VS2,Excellent,393
NATURAL,emerald,0.31,G,VS1,Excellent,404
NATURAL,round,0.26,F,SI2,Very_Good,351
NATURAL,round,0.36,J,VS1,Excellent,395
NATURAL,round,0.30,J,I1,Good,356
NATURAL,round,0.19,E,VS1,Excellent,408
NATURAL,round,0.18,G,VVS2,Excellent,345
